,Group,environment_binary[T.1],price_displayed,fatigue
668220.0,-0.07556361491254099,0.03525615505859223,0.0033839599488233955,-4.9891443820409054e-05
668225.0,0.12901465681086488,-0.12360688063453361,-0.08640853804776134,-3.682796852006281e-05
668237.0,0.10513410430268055,0.006604120596812001,-0.09334347270017244,3.747695817955603e-06
668239.0,-0.11300289648588091,-0.027092092616273503,0.023396192879086987,-6.850443869502531e-05
668240.0,-0.010694690539817388,-0.01256691087526933,0.01964024728574357,-1.9031321379755037e-05
668244.0,0.046421547137657226,-0.04160717014919449,-0.05911712620847091,-5.9316087743831683e-05
668245.0,-0.0014907370011093407,0.023371787427341806,-0.006196129379171501,-3.076949609012116e-05
668246.0,-0.030335002056339683,-0.09543044230964949,0.05675198482129577,-2.5593888845295703e-05
668249.0,-0.10951493257189998,-0.03413401723961952,0.02677221425338815,5.423584373178981e-05
668251.0,0.6349018938478252,-0.23248301495156415,-0.1627760636400038,0.00032039670348283245
668253.0,-0.12951715483953008,0.007611664850657139,0.005728812209803386,-1.6570248578593577e-05
668254.0,0.3974789313961779,-0.11169879528323978,-0.18544789723510172,-6.786918868350396e-05
668263.0,0.21817653146197713,-0.14490188376954713,-0.056520454633352576,-8.263297924688032e-05
668267.0,-0.1701416737500885,0.13433846021870416,-0.0010568305382093381,2.858473997961785e-05
668270.0,-0.044224172167149356,0.023256210355142415,-0.00542738458354574,-8.279539836251798e-06
668274.0,0.1032287070695465,-0.04313541681367897,-0.08271370470232785,-4.445854737657187e-06
668370.0,-0.17085978907974184,-0.04654510559061063,0.05544490824611412,-4.946196981445373e-06
672044.0,0.016799476000294467,0.032858148319318076,0.012761943405907965,-6.346994841122176e-05
672045.0,-0.17637348238725598,0.03227731249275523,0.03743111434675963,-5.959388625044099e-05
672046.0,0.11754370198407743,0.044294650610419,-0.0068121214171303485,3.796426423848681e-06
672581.0,0.04793552508863824,-0.10467596165790646,0.008413353496450964,-6.410007156768762e-05
672582.0,-0.06126764996715986,0.049942157893969615,0.012895340742385318,-1.8091446549730715e-05
672585.0,-0.020298162130656106,0.019669898338859078,0.05968617814405694,-5.119368333314885e-05
672586.0,0.048110640025757156,0.006322537411022691,0.08360901936209372,-0.00011136955439403012
672587.0,-0.04095091284611949,0.02386913434939662,-0.04379977222226984,-4.7442340595349203e-05
672588.0,-0.3235080485892177,0.006415583919537782,0.05190920354053517,-1.7612821857049775e-06
672590.0,-0.024168659529240216,0.07213672177534411,0.04806467299903551,-4.665852591868396e-05
672592.0,-0.2260710068370871,0.059478743754458455,0.04019594129823205,-2.4468370933468725e-05
672594.0,-0.19671928070757394,0.0026548675031494162,0.04643525259549335,-1.8601505326684787e-05
