,id,price_displayed,key pressed,environment,order,round_instance,task,function_id,quality_check,builtin_rt,end_time,start_time,Participant Public ID,latency
1690,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,121.09000002965332,1551894240401.0,1551894240279.0,5c0e55c7427e7b00013b7cb0,125.0
1691,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,138.440000009723,1551894240542.0,1551894240404.0,5c0e55c7427e7b00013b7cb0,141.0
1692,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,125.92999998014419,1551894240671.0,1551894240545.0,5c0e55c7427e7b00013b7cb0,129.0
1693,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,133.48499999847263,1551894240808.0,1551894240674.0,5c0e55c7427e7b00013b7cb0,136.0
1694,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,144.89999995566905,1551894240956.0,1551894240810.0,5c0e55c7427e7b00013b7cb0,37242.0
1916,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,689.200000022538,1551894278742.0,1551894278052.0,5c0e55c7427e7b00013b7cb0,693.0
1917,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,129.52000001678243,1551894278875.0,1551894278745.0,5c0e55c7427e7b00013b7cb0,132.0
1918,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,118.57500002952291,1551894278996.0,1551894278877.0,5c0e55c7427e7b00013b7cb0,122.0
1919,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,139.00999998440966,1551894279138.0,1551894278999.0,5c0e55c7427e7b00013b7cb0,142.0
1920,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,120.19500002497809,1551894279262.0,1551894279141.0,5c0e55c7427e7b00013b7cb0,123.0
1921,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,126.40000000828877,1551894279391.0,1551894279264.0,5c0e55c7427e7b00013b7cb0,130.0
1922,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,148.03499996196481,1551894279542.0,1551894279394.0,5c0e55c7427e7b00013b7cb0,151.0
1923,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,118.70999995153394,1551894279664.0,1551894279545.0,5c0e55c7427e7b00013b7cb0,125163.0
2250,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,745.5900000059047,1551894405454.0,1551894404708.0,5c0e55c7427e7b00013b7cb0,749.0
2251,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,165.65500001888722,1551894405623.0,1551894405457.0,5c0e55c7427e7b00013b7cb0,169.0
2252,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,147.6000000257045,1551894405774.0,1551894405626.0,5c0e55c7427e7b00013b7cb0,151.0
2253,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,127.9699999722652,1551894405905.0,1551894405777.0,5c0e55c7427e7b00013b7cb0,131.0
