,id,environment,trial_label,trial_index,sum_latency,key_pressed
0,668220.0,high,6,6,6,6
1,668220.0,low,6,6,6,6
2,668225.0,high,6,6,6,6
3,668225.0,low,6,6,6,6
4,668237.0,high,6,6,6,6
5,668237.0,low,6,6,6,6
6,668239.0,high,6,6,6,6
7,668239.0,low,6,6,6,6
8,668240.0,high,5,5,5,5
9,668240.0,low,6,6,6,6
10,668244.0,high,6,6,6,6
11,668244.0,low,6,6,6,6
12,668245.0,high,6,6,6,6
13,668245.0,low,6,6,6,6
14,668246.0,high,6,6,6,6
15,668246.0,low,6,6,6,6
16,668249.0,high,6,6,6,6
17,668249.0,low,6,6,6,6
18,668251.0,high,6,6,6,6
19,668251.0,low,4,4,4,4
20,668253.0,high,6,6,6,6
21,668253.0,low,6,6,6,6
22,668254.0,high,6,6,6,6
23,668254.0,low,6,6,6,6
24,668262.0,high,6,6,6,6
25,668262.0,low,5,5,5,5
26,668263.0,high,5,5,5,5
27,668263.0,low,6,6,6,6
28,668267.0,high,6,6,6,6
29,668267.0,low,6,6,6,6
30,668270.0,high,6,6,6,6
31,668270.0,low,6,6,6,6
32,668274.0,high,6,6,6,6
33,668274.0,low,6,6,6,6
34,668370.0,high,6,6,6,6
35,668370.0,low,6,6,6,6
36,672044.0,high,6,6,6,6
37,672044.0,low,6,6,6,6
38,672045.0,high,6,6,6,6
39,672045.0,low,6,6,6,6
40,672046.0,high,6,6,6,6
41,672046.0,low,6,6,6,6
42,672581.0,high,6,6,6,6
43,672581.0,low,6,6,6,6
44,672582.0,high,6,6,6,6
45,672582.0,low,6,6,6,6
46,672585.0,high,6,6,6,6
47,672585.0,low,6,6,6,6
48,672586.0,high,6,6,6,6
49,672586.0,low,6,6,6,6
50,672587.0,high,6,6,6,6
51,672587.0,low,6,6,6,6
52,672588.0,high,6,6,6,6
53,672588.0,low,6,6,6,6
54,672590.0,high,6,6,6,6
55,672590.0,low,6,6,6,6
56,672592.0,high,6,6,6,6
57,672592.0,low,6,6,6,6
58,672593.0,high,1,1,1,1
59,672593.0,low,5,5,5,5
60,672594.0,high,6,6,6,6
61,672594.0,low,6,6,6,6
62,672595.0,high,6,6,6,6
63,672595.0,low,6,6,6,6
64,672596.0,high,6,6,6,6
65,672596.0,low,6,6,6,6
66,672611.0,high,6,6,6,6
67,672611.0,low,6,6,6,6
68,672614.0,high,6,6,6,6
69,672614.0,low,6,6,6,6
70,672655.0,high,6,6,6,6
71,672655.0,low,6,6,6,6
72,674197.0,high,6,6,6,6
73,674197.0,low,6,6,6,6
74,675515.0,high,6,6,6,6
75,675515.0,low,6,6,6,6
76,675528.0,high,6,6,6,6
77,675528.0,low,6,6,6,6
78,675577.0,high,6,6,6,6
79,675577.0,low,5,5,5,5
80,675579.0,high,6,6,6,6
81,675579.0,low,6,6,6,6
82,675592.0,high,5,5,5,5
83,675592.0,low,6,6,6,6
84,675610.0,high,6,6,6,6
85,675610.0,low,5,5,5,5
