,id,environment,round_instance,quality_check,start_time,end_time,latency
85,621711.0,low,22.0,1.0,1551894670227.0,1551894670331.0,107.0
86,621711.0,low,22.0,1.0,1551894670334.0,1551894670460.0,129.0
87,621711.0,low,22.0,1.0,1551894670463.0,1551894670589.0,129.0
88,621711.0,low,22.0,1.0,1551894670592.0,1551894670712.0,122.0
89,621711.0,low,22.0,1.0,1551894670714.0,1551894670837.0,125.0
90,621711.0,low,22.0,1.0,1551894670839.0,1551894670968.0,-310965.0
91,621729.0,high,11.0,1.0,1551894359874.0,1551894360616.0,745.0
92,621729.0,high,11.0,1.0,1551894360619.0,1551894360753.0,135.0
93,621729.0,high,11.0,1.0,1551894360754.0,1551894360885.0,132.0
94,621729.0,high,11.0,1.0,1551894360886.0,1551894360993.0,108.0
95,621729.0,high,11.0,1.0,1551894360994.0,1551894361127.0,51181.0
96,621729.0,high,11.0,1.0,1551894412175.0,1551894413062.0,52268.0
97,621729.0,high,11.0,1.0,1551894464443.0,1551894465001.0,560.0
98,621729.0,high,11.0,1.0,1551894465003.0,1551894465159.0,157.0
99,621729.0,high,11.0,1.0,1551894465160.0,1551894465297.0,138.0
100,621729.0,high,11.0,1.0,1551894465298.0,1551894465447.0,150.0
101,621729.0,high,11.0,1.0,1551894465448.0,1551894465587.0,141.0
102,621729.0,high,11.0,1.0,1551894465589.0,1551894465747.0,159.0
103,621729.0,high,11.0,1.0,1551894465748.0,1551894465904.0,158.0
104,621729.0,high,11.0,1.0,1551894465906.0,1551894466067.0,80060.0
105,621729.0,high,21.0,1.0,1551894545966.0,1551894546028.0,165.0
106,621729.0,high,21.0,1.0,1551894546131.0,1551894546210.0,
107,621729.0,high,21.0,1.0,,,
108,621729.0,high,21.0,1.0,,,
109,621729.0,high,21.0,1.0,,,
110,621729.0,high,21.0,1.0,1551894546321.0,1551894546793.0,475.0
111,621729.0,high,21.0,1.0,1551894546796.0,1551894546942.0,149.0
112,621729.0,high,21.0,1.0,1551894546945.0,1551894547103.0,160.0
113,621729.0,high,21.0,1.0,1551894547105.0,1551894547246.0,143.0
114,621729.0,high,21.0,1.0,1551894547248.0,1551894547399.0,154.0
115,621729.0,high,21.0,1.0,1551894547402.0,1551894547545.0,145.0
116,621729.0,high,21.0,1.0,1551894547547.0,1551894547692.0,51137.0
117,621729.0,high,21.0,1.0,1551894598684.0,1551894599265.0,583.0
118,621729.0,high,21.0,1.0,1551894599267.0,1551894599398.0,136.0
119,621729.0,high,21.0,1.0,1551894599403.0,1551894599526.0,126.0
120,621729.0,high,21.0,1.0,1551894599529.0,1551894599666.0,139.0
121,621729.0,high,21.0,1.0,1551894599668.0,1551894599812.0,38317.0
122,621729.0,high,21.0,1.0,1551894637985.0,1551894638549.0,569.0
123,621729.0,high,21.0,1.0,1551894638554.0,1551894638686.0,135.0
124,621729.0,high,21.0,1.0,1551894638689.0,1551894638822.0,136.0
125,621729.0,high,21.0,1.0,1551894638825.0,1551894638984.0,101444.0
126,621729.0,low,12.0,1.0,1551894740269.0,1551894740666.0,401.0
127,621729.0,low,12.0,1.0,1551894740670.0,1551894740831.0,163.0
128,621729.0,low,12.0,1.0,1551894740833.0,1551894740966.0,136.0
129,621729.0,low,12.0,1.0,1551894740969.0,1551894741107.0,140.0
130,621729.0,low,12.0,1.0,1551894741109.0,1551894741239.0,134.0
131,621729.0,low,12.0,1.0,1551894741243.0,1551894741375.0,135.0
132,621729.0,low,12.0,1.0,1551894741378.0,1551894741520.0,50242.0
133,621729.0,low,12.0,1.0,1551894791620.0,1551894791686.0,171.0
134,621729.0,low,12.0,1.0,1551894791791.0,1551894791859.0,173.0
135,621729.0,low,12.0,1.0,1551894791964.0,1551894792015.0,156.0
136,621729.0,low,12.0,1.0,1551894792120.0,1551894792181.0,167.0
137,621729.0,low,12.0,1.0,1551894792287.0,1551894792352.0,170.0
138,621729.0,low,12.0,1.0,1551894792457.0,,
139,621729.0,low,12.0,1.0,,,
140,621729.0,low,12.0,1.0,,,
141,621729.0,low,12.0,1.0,,,
142,621729.0,low,12.0,1.0,1551894792597.0,1551894793341.0,747.0
143,621729.0,low,12.0,1.0,1551894793344.0,1551894793453.0,113.0
144,621729.0,low,12.0,1.0,1551894793457.0,1551894793577.0,123.0
145,621729.0,low,12.0,1.0,1551894793580.0,1551894793713.0,136.0
146,621729.0,low,12.0,1.0,1551894793716.0,1551894793857.0,144.0
147,621729.0,low,12.0,1.0,1551894793860.0,1551894794011.0,51087.0
148,621729.0,low,12.0,1.0,1551894844947.0,1551894845484.0,540.0
149,621729.0,low,12.0,1.0,1551894845487.0,1551894845606.0,123.0
150,621729.0,low,12.0,1.0,1551894845610.0,1551894845746.0,139.0
151,621729.0,low,12.0,1.0,1551894845749.0,1551894845900.0,155.0
152,621729.0,low,12.0,1.0,1551894845904.0,1551894846061.0,160.0
153,621729.0,low,12.0,1.0,1551894846064.0,1551894846216.0,156.0
154,621729.0,low,12.0,1.0,1551894846220.0,1551894846385.0,81652.0
155,621729.0,low,22.0,1.0,1551894927872.0,1551894928441.0,577.0
156,621729.0,low,22.0,1.0,1551894928449.0,1551894928642.0,198.0
157,621729.0,low,22.0,1.0,1551894928647.0,1551894928788.0,146.0
158,621729.0,low,22.0,1.0,1551894928793.0,1551894928937.0,148.0
159,621729.0,low,22.0,1.0,1551894928941.0,1551894929090.0,153.0
160,621729.0,low,22.0,1.0,1551894929094.0,1551894929243.0,153.0
161,621729.0,low,22.0,1.0,1551894929247.0,1551894929389.0,50946.0
162,621729.0,low,22.0,1.0,1551894980193.0,1551894980769.0,580.0
163,621729.0,low,22.0,1.0,1551894980773.0,1551894980911.0,143.0
164,621729.0,low,22.0,1.0,1551894980916.0,1551894981064.0,156.0
165,621729.0,low,22.0,1.0,1551894981072.0,1551894981207.0,139.0
166,621729.0,low,22.0,1.0,1551894981211.0,1551894981359.0,152.0
167,621729.0,low,22.0,1.0,1551894981363.0,1551894981516.0,38164.0
