Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round instance,task,function id,rod fixing checked,builtin rt,end_time,start_time
2048,1.55E+12,19/02/2019 02:29:58,1.55E+12,8,19/02/2019 10:30:01,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,121,40,0.1,high-low,low,12,null,fishing_l,null,119.9770002,1550540000000.00,1550540000000.00
2049,1.55E+12,19/02/2019 02:29:58,1.55E+12,8,19/02/2019 10:30:01,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,105,40,0.1,high-low,low,12,null,fishing_l,null,104.635,1550540000000.00,1550540000000.00
2050,1.55E+12,19/02/2019 02:29:58,1.55E+12,8,19/02/2019 10:30:01,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,102,40,0.1,high-low,low,12,null,fishing_l,null,102.0109998,1550540000000.00,1550540000000.00
2051,1.55E+12,19/02/2019 02:29:58,1.55E+12,8,19/02/2019 10:30:02,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,105,40,0.1,high-low,low,12,null,fishing_l,null,105.1360001,1550540000000.00,1550540000000.00
2052,1.55E+12,19/02/2019 02:29:58,1.55E+12,8,19/02/2019 10:30:02,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,91,40,0.1,high-low,low,12,null,fishing_l,null,90.3739999,1550540000000.00,1550540000000.00
2053,1.55E+12,19/02/2019 02:29:59,1.55E+12,8,19/02/2019 10:30:02,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,105,40,0.1,high-low,low,12,null,fishing_l,null,104.6270002,1550540000000.00,1550540000000.00
2054,1.55E+12,19/02/2019 02:29:59,1.55E+12,8,19/02/2019 10:30:02,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,89,40,0.1,high-low,low,12,null,fishing_l,null,89.50900007,1550540000000.00,1550540000000.00
2055,1.55E+12,19/02/2019 02:29:59,1.55E+12,8,19/02/2019 10:30:02,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,90,40,0.1,high-low,low,12,null,fishing_l,null,89.83099996,1550540000000.00,1550540000000.00
2056,1.55E+12,19/02/2019 02:29:59,1.55E+12,8,19/02/2019 10:30:03,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,105,40,0.1,high-low,low,12,null,fishing_l,null,104.9039999,1550540000000.00,1550540000000.00
2057,1.55E+12,19/02/2019 02:29:59,1.55E+12,8,19/02/2019 10:30:03,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,104,40,0.1,high-low,low,12,null,fishing_l,null,103.81,1550540000000.00,1550540000000.00
