Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,key pressed,price_displayed,order,environment,round_instance,task,function id,rod fixing checked,builtin_rt,end_time,start_time,index
1,1554300485564,03/04/2019 14:08:05,1554300485475,1,03/04/2019 15:08:05,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,45039,32,null,low-high,low,null,null,instruction,null,45037.475000019185,1554300485473,1554300440434,0
2,1554300487959,03/04/2019 14:08:07,1554300487666,1,03/04/2019 15:08:07,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2187,32,null,low-high,low,null,null,instruction,null,2187.065000005532,1554300487665,1554300485478,0
3,1554300490813,03/04/2019 14:08:10,1554300490786,1,03/04/2019 15:08:10,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3119,32,null,low-high,low,null,null,instruction,null,3118.175000010524,1554300490786,1554300487667,0
4,1554300491563,03/04/2019 14:08:11,1554300491486,1,03/04/2019 15:08:11,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,698,32,null,low-high,low,null,null,instruction,null,697.5250000250526,1554300491485,1554300490787,0
5,1554300491641,03/04/2019 14:08:11,1554300491488,1,03/04/2019 15:08:11,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,,,null,low-high,low,11,null,caller,null,,,,1
6,1554300491641,03/04/2019 14:08:11,1554300491490,1,03/04/2019 15:08:11,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,,,null,low-high,low,11,null,caller,null,,,,1
7,1554300491641,03/04/2019 14:08:11,1554300491492,1,03/04/2019 15:08:11,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,,,null,low-high,low,11,null,caller,null,,,,1
8,1554300491641,03/04/2019 14:08:11,1554300491493,1,03/04/2019 15:08:11,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,,,null,low-high,low,11,null,caller,null,,,,1
9,1554300492843,03/04/2019 14:08:12,1554300492818,1,03/04/2019 15:08:12,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1221,40,1.8,low-high,low,11,fishing,fishing_l,null,1220.4199999687262,1554300492714,1554300491493,1
10,1554300493032,03/04/2019 14:08:13,1554300492967,1,03/04/2019 15:08:12,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,47,40,1.8,low-high,low,11,fishing,fishing_l,null,46.24999995576218,1554300492866,1554300492819,1
11,1554300493171,03/04/2019 14:08:13,1554300493114,1,03/04/2019 15:08:13,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,42,40,1.8,low-high,low,11,fishing,fishing_l,null,41.28500004298985,1554300493011,1554300492969,1
12,1554300493458,03/04/2019 14:08:13,1554300493392,1,03/04/2019 15:08:13,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,172,40,1.8,low-high,low,11,fishing,fishing_l,null,171.1649999488145,1554300493288,1554300493116,1
13,1554300493567,03/04/2019 14:08:13,1554300493536,1,03/04/2019 15:08:13,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,39,40,1.8,low-high,low,11,fishing,fishing_l,null,38.00000000046566,1554300493432,1554300493393,1
14,1554300493739,03/04/2019 14:08:13,1554300493706,1,03/04/2019 15:08:13,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,68,40,1.8,low-high,low,11,fishing,fishing_l,null,67.235000024084,1554300493605,1554300493537,1
15,1554300493895,03/04/2019 14:08:13,1554300493871,1,03/04/2019 15:08:13,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,57,40,1.8,low-high,low,11,fishing,fishing_l,null,56.379999965429306,1554300493765,1554300493708,1
16,1554300494084,03/04/2019 14:08:14,1554300494036,1,03/04/2019 15:08:14,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,61,40,1.8,low-high,low,11,fishing,fishing_l,null,60.99500000709668,1554300493934,1554300493873,1
17,1554300494411,03/04/2019 14:08:14,1554300494198,1,03/04/2019 15:08:14,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,57,40,1.8,low-high,low,11,fishing,fishing_l,null,56.809999980032444,1554300494094,1554300494037,1
18,1554300494536,03/04/2019 14:08:14,1554300494426,1,03/04/2019 15:08:14,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,123,40,1.8,low-high,low,11,fishing,fishing_l,null,122.36999999731779,1554300494323,1554300494200,1
19,1554300494661,03/04/2019 14:08:14,1554300494629,1,03/04/2019 15:08:14,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,101,40,1.8,low-high,low,11,fishing,fishing_l,null,100.5950000253506,1554300494528,1554300494427,1
20,1554300494851,03/04/2019 14:08:14,1554300494813,1,03/04/2019 15:08:14,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,79,40,1.8,low-high,low,11,fishing,fishing_l,null,78.31000001169741,1554300494709,1554300494630,1
21,1554300495448,03/04/2019 14:08:15,1554300495383,1,03/04/2019 15:08:15,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,468,40,1.8,low-high,low,11,fishing,fishing_l,null,467.55999996094033,1554300495282,1554300494814,1
22,1554300495599,03/04/2019 14:08:15,1554300495562,1,03/04/2019 15:08:15,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,73,40,1.8,low-high,low,11,fishing,fishing_l,null,72.27499998407438,1554300495459,1554300495386,1
23,1554300495770,03/04/2019 14:08:15,1554300495734,1,03/04/2019 15:08:15,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,63,40,1.8,low-high,low,11,fishing,fishing_l,null,63.56500001857057,1554300495627,1554300495564,1
24,1554300495944,03/04/2019 14:08:15,1554300495914,1,03/04/2019 15:08:15,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,76,40,1.8,low-high,low,11,fishing,fishing_l,null,75.80999995116144,1554300495812,1554300495736,1
25,1554300496148,03/04/2019 14:08:16,1554300496105,1,03/04/2019 15:08:16,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,86,40,1.8,low-high,low,11,fishing,fishing_l,null,86.50000003399327,1554300496003,1554300495917,1
26,1554300496355,03/04/2019 14:08:16,1554300496322,1,03/04/2019 15:08:16,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,112,40,1.8,low-high,low,11,fishing,fishing_l,null,111.32500000530854,1554300496218,1554300496106,1
27,1554300496558,03/04/2019 14:08:16,1554300496522,1,03/04/2019 15:08:16,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,97,40,1.8,low-high,low,11,fishing,fishing_l,null,96.40999999828637,1554300496420,1554300496323,1
28,1554300496751,03/04/2019 14:08:16,1554300496725,1,03/04/2019 15:08:16,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,98,40,1.8,low-high,low,11,fishing,fishing_l,null,97.20499999821186,1554300496622,1554300496524,1
29,1554300496923,03/04/2019 14:08:16,1554300496903,1,03/04/2019 15:08:16,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,74,40,1.8,low-high,low,11,fishing,fishing_l,null,73.57499998761341,1554300496800,1554300496726,1
30,1554300497127,03/04/2019 14:08:17,1554300497087,1,03/04/2019 15:08:17,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,78,40,1.8,low-high,low,11,fishing,fishing_l,null,77.18999998178333,1554300496982,1554300496904,1
31,1554300497315,03/04/2019 14:08:17,1554300497297,1,03/04/2019 15:08:17,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,103,40,1.8,low-high,low,11,fishing,fishing_l,null,102.3249999852851,1554300497193,1554300497090,1
32,1554300497548,03/04/2019 14:08:17,1554300497502,1,03/04/2019 15:08:17,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,102,40,1.8,low-high,low,11,fishing,fishing_l,null,101.265000004787,1554300497400,1554300497298,1
33,1554300497721,03/04/2019 14:08:17,1554300497688,1,03/04/2019 15:08:17,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,83,40,1.8,low-high,low,11,fishing,fishing_l,null,82.46000000508502,1554300497587,1554300497504,1
34,1554300497893,03/04/2019 14:08:17,1554300497863,1,03/04/2019 15:08:17,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,69,40,1.8,low-high,low,11,fishing,fishing_l,null,68.84500000160187,1554300497759,1554300497690,1
35,1554300498049,03/04/2019 14:08:18,1554300498014,1,03/04/2019 15:08:18,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,48,40,1.8,low-high,low,11,fishing,fishing_l,null,46.895000035874546,1554300497912,1554300497864,1
36,1554300498221,03/04/2019 14:08:18,1554300498187,1,03/04/2019 15:08:18,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,66,40,1.8,low-high,low,11,fishing,fishing_l,null,65.3300000121817,1554300498082,1554300498016,1
37,1554300498423,03/04/2019 14:08:18,1554300498373,1,03/04/2019 15:08:18,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,82,40,1.8,low-high,low,11,fishing,fishing_l,null,81.07000001473352,1554300498271,1554300498189,1
38,1554300498615,03/04/2019 14:08:18,1554300498573,1,03/04/2019 15:08:18,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,94,40,1.8,low-high,low,11,fishing,fishing_l,null,93.65500003332272,1554300498469,1554300498375,1
39,1554300498799,03/04/2019 14:08:18,1554300498753,1,03/04/2019 15:08:18,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,74,40,1.8,low-high,low,11,fishing,fishing_l,null,73.10999999754131,1554300498648,1554300498574,1
40,1554300498958,03/04/2019 14:08:18,1554300498924,1,03/04/2019 15:08:18,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,69,40,1.8,low-high,low,11,fishing,fishing_l,null,67.92000000132248,1554300498823,1554300498754,1
41,1554300499127,03/04/2019 14:08:19,1554300499084,1,03/04/2019 15:08:19,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,56,40,1.8,low-high,low,11,fishing,fishing_l,null,56.18000001413748,1554300498982,1554300498926,1
42,1554300499302,03/04/2019 14:08:19,1554300499244,1,03/04/2019 15:08:19,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,55,40,1.8,low-high,low,11,fishing,fishing_l,null,54.82499999925494,1554300499141,1554300499086,1
43,1554300499424,03/04/2019 14:08:19,1554300499400,1,03/04/2019 15:08:19,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,51,40,1.8,low-high,low,11,fishing,fishing_l,null,50.709999981336296,1554300499297,1554300499246,1
44,1554300499612,03/04/2019 14:08:19,1554300499550,1,03/04/2019 15:08:19,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,44,40,1.8,low-high,low,11,fishing,fishing_l,null,43.145000003278255,1554300499445,1554300499401,1
45,1554300499737,03/04/2019 14:08:19,1554300499710,1,03/04/2019 15:08:19,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,56,40,1.8,low-high,low,11,fishing,fishing_l,null,55.354999960400164,1554300499607,1554300499551,1
46,1554300499940,03/04/2019 14:08:19,1554300499877,1,03/04/2019 15:08:19,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,59,40,1.8,low-high,low,11,fishing,fishing_l,null,58.834999974351376,1554300499771,1554300499712,1
47,1554300500048,03/04/2019 14:08:20,1554300500026,1,03/04/2019 15:08:20,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,47,40,1.8,low-high,low,11,fishing,fishing_l,null,46.68999998830259,1554300499925,1554300499878,1
48,1554300500237,03/04/2019 14:08:20,1554300500191,1,03/04/2019 15:08:20,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,58,40,1.8,low-high,low,11,fishing,fishing_l,null,56.78499996429309,1554300500085,1554300500027,1
49,1554300500393,03/04/2019 14:08:20,1554300500353,1,03/04/2019 15:08:20,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,59,40,1.8,low-high,low,11,fishing,fishing_l,null,58.30499995499849,1554300500251,1554300500192,1
50,1554300500534,03/04/2019 14:08:20,1554300500502,1,03/04/2019 15:08:20,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,46,40,1.8,low-high,low,11,fishing,fishing_l,null,45.280000020284206,1554300500401,1554300500355,1
51,1554300500690,03/04/2019 14:08:20,1554300500655,1,03/04/2019 15:08:20,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,50,40,1.8,low-high,low,11,fishing,fishing_l,null,49.149999977089465,1554300500553,1554300500503,1
52,1554300500847,03/04/2019 14:08:20,1554300500817,1,03/04/2019 15:08:20,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,59,40,1.8,low-high,low,11,fishing,fishing_l,null,58.665000018663704,1554300500716,1554300500657,1
53,1554300501035,03/04/2019 14:08:21,1554300500985,1,03/04/2019 15:08:20,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,60,40,1.8,low-high,low,11,fishing,fishing_l,null,59.18999999994412,1554300500879,1554300500819,1
54,1554300501159,03/04/2019 14:08:21,1554300501130,1,03/04/2019 15:08:21,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,42,40,1.8,low-high,low,11,fishing,fishing_l,null,40.6700000166893,1554300501028,1554300500986,1
55,1554300501331,03/04/2019 14:08:21,1554300501304,1,03/04/2019 15:08:21,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,67,40,1.8,low-high,low,11,fishing,fishing_l,null,66.08999997843057,1554300501198,1554300501131,1
56,1554300501503,03/04/2019 14:08:21,1554300501475,1,03/04/2019 15:08:21,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,66,40,1.8,low-high,low,11,fishing,fishing_l,null,65.80500002019107,1554300501372,1554300501306,1
57,1554300501690,03/04/2019 14:08:21,1554300501629,1,03/04/2019 15:08:21,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,48,40,1.8,low-high,low,11,fishing,fishing_l,null,46.86999996192753,1554300501524,1554300501476,1
58,1554300501831,03/04/2019 14:08:21,1554300501803,1,03/04/2019 15:08:21,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,70,40,1.8,low-high,low,11,fishing,fishing_l,null,69.97000001138076,1554300501701,1554300501631,1
59,1554300502081,03/04/2019 14:08:22,1554300501973,1,03/04/2019 15:08:21,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,64,40,1.8,low-high,low,11,fishing,fishing_l,null,63.04999999701977,1554300501868,1554300501804,1
60,1554300502175,03/04/2019 14:08:22,1554300502143,1,03/04/2019 15:08:22,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,62,40,1.8,low-high,low,11,fishing,fishing_l,null,61.46999995689839,1554300502037,1554300501975,1
61,1554300502362,03/04/2019 14:08:22,1554300502313,1,03/04/2019 15:08:22,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,66,40,1.8,low-high,low,11,fishing,fishing_l,null,66.47000001976267,1554300502211,1554300502145,1
62,1554300502519,03/04/2019 14:08:22,1554300502484,1,03/04/2019 15:08:22,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,67,40,1.8,low-high,low,11,fishing,fishing_l,null,66.129999991972,1554300502381,1554300502314,1
63,1554300502678,03/04/2019 14:08:22,1554300502648,1,03/04/2019 15:08:22,6138,35,task-5e3j,,2407038,,665035,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 73.0.3683.86,1280x800,1280x646,after questionnairs,Low to High with Rod Fixing,16,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,60,40,1.8,low-high,low,11,fishing,fishing_l,null,59.19499997980893,1554300502546,1554300502486,1
