Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,choice made,reaction time
3,1552054358566,08/03/2019 14:12:38,1552054357880,0,08/03/2019 14:12:37,6138,31,task-lgcm,,2292559,5bf033df5fc1db00013051a0,625386,,complete,,5c82733554effd0001d7194a,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1536x864,1536x754,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Neither true nor untrue"",""Q3"":""Quite true"",""Q4"":""Neither true nor untrue"",""Q5"":""Quite true""}",25040.930000017397
1,1552054471982,08/03/2019 14:14:31,1552054441406,0,08/03/2019 14:14:01,6138,31,task-lgcm,,2292581,5ab5509cf69e940001d8d954,625403,,complete,,5c82741e24efd80001b93dfa,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1366x768,1366x654,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Neither true nor untrue"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true""}",18617
2,1552054490558,08/03/2019 14:14:50,1552054459523,0,08/03/2019 14:14:19,6138,31,task-lgcm,,2292581,5ab5509cf69e940001d8d954,625403,,complete,,5c82741e24efd80001b93dfa,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1366x768,1366x654,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Quite true"",""Q2"":""Quite true"",""Q3"":""Completely TRUE"",""Q4"":""Quite true"",""Q5"":""Quite true""}",18074
3,1552054506173,08/03/2019 14:15:06,1552054475638,0,08/03/2019 14:14:35,6138,31,task-lgcm,,2292581,5ab5509cf69e940001d8d954,625403,,complete,,5c82741e24efd80001b93dfa,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1366x768,1366x654,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Quite true"",""Q2"":""Neither true nor untrue"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true""}",16080
1,1552054420081,08/03/2019 14:13:40,1552054420534,0,08/03/2019 14:13:40,6138,31,task-lgcm,,2292596,5c75779b280f660019d7ca5f,625392,,complete,,5c82738bd2c07e0017f53292,computer,Desktop or Laptop,Windows 8,Chrome 72.0.3626.121,1344x840,1344x699,after questionnairs,AMI,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Quite true"",""Q3"":""Quite true"",""Q4"":""Mostly untrue"",""Q5"":""Quite true""}",27463.234999973793
2,1552054444811,08/03/2019 14:14:04,1552054445803,0,08/03/2019 14:14:05,6138,31,task-lgcm,,2292596,5c75779b280f660019d7ca5f,625392,,complete,,5c82738bd2c07e0017f53292,computer,Desktop or Laptop,Windows 8,Chrome 72.0.3626.121,1344x840,1344x699,after questionnairs,AMI,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Mostly untrue"",""Q1"":""Mostly untrue"",""Q2"":""Quite true"",""Q3"":""Mostly untrue"",""Q4"":""Quite true"",""Q5"":""Quite true""}",25258.265000011306
3,1552054466705,08/03/2019 14:14:26,1552054467715,0,08/03/2019 14:14:27,6138,31,task-lgcm,,2292596,5c75779b280f660019d7ca5f,625392,,complete,,5c82738bd2c07e0017f53292,computer,Desktop or Laptop,Windows 8,Chrome 72.0.3626.121,1344x840,1344x699,after questionnairs,AMI,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Quite true"",""Q2"":""Quite true"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true""}",21901.665000012144
1,1552054448486,08/03/2019 14:14:08,1552054448378,0,08/03/2019 14:14:08,6138,31,task-lgcm,,2292601,5bfee33dce8e790001551d25,625394,,complete,,5c8273be810e890001e722fd,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1280x800,1280x737,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Mostly untrue"",""Q3"":""Neither true nor untrue"",""Q4"":""Mostly untrue"",""Q5"":""Quite true""}",19536
2,1552054471010,08/03/2019 14:14:31,1552054470960,0,08/03/2019 14:14:30,6138,31,task-lgcm,,2292601,5bfee33dce8e790001551d25,625394,,complete,,5c8273be810e890001e722fd,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1280x800,1280x737,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Neither true nor untrue"",""Q1"":""Quite true"",""Q2"":""Quite true"",""Q3"":""Completely UNTRUE"",""Q4"":""Mostly untrue"",""Q5"":""Quite true""}",22563
3,1552054492840,08/03/2019 14:14:52,1552054492652,0,08/03/2019 14:14:52,6138,31,task-lgcm,,2292601,5bfee33dce8e790001551d25,625394,,complete,,5c8273be810e890001e722fd,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1280x800,1280x737,after questionnairs,AMI,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Quite true"",""Q2"":""Mostly untrue"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true""}",21678.000000000007
