Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round instance,task,function id,rod fixing checked,builtin rt,end_time,start_time
16,1.55032E+12,16/02/2019 13:47:46,1.55032E+12,0,16/02/2019 13:47:44,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,75,40,0.3,high-low,high,11,fishing,fishing_h,,74.33,1550324864187.00,1550324864112.00
17,1.55032E+12,16/02/2019 13:47:46,1.55032E+12,0,16/02/2019 13:47:44,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,84,40,0.3,high-low,high,11,fishing,fishing_h,,83.52000001,1550324864378.00,1550324864294.00
18,1.55032E+12,16/02/2019 13:47:47,1.55032E+12,0,16/02/2019 13:47:44,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,78,40,0.3,high-low,high,11,fishing,fishing_h,,77.815,1550324864561.00,1550324864483.00
19,1.55032E+12,16/02/2019 13:47:47,1.55032E+12,0,16/02/2019 13:47:44,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,91,40,0.3,high-low,high,11,fishing,fishing_h,,90.60999998,1550324864754.00,1550324864663.00
20,1.55032E+12,16/02/2019 13:47:47,1.55032E+12,0,16/02/2019 13:47:45,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,77,40,0.3,high-low,high,11,fishing,fishing_h,,76.48500003,1550324864937.00,1550324864860.00
21,1.55032E+12,16/02/2019 13:47:47,1.55032E+12,0,16/02/2019 13:47:45,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,88,40,0.3,high-low,high,11,fishing,fishing_h,,87.62499999,1550324865129.00,1550324865041.00
22,1.55032E+12,16/02/2019 13:47:47,1.55032E+12,0,16/02/2019 13:47:45,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,76,40,0.3,high-low,high,11,fishing,fishing_h,,76.07499999,1550324865314.00,1550324865238.00
23,1.55032E+12,16/02/2019 13:47:48,1.55032E+12,0,16/02/2019 13:47:45,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,78,40,0.3,high-low,high,11,fishing,fishing_h,,76.745,1550324865500.00,1550324865422.00
24,1.55032E+12,16/02/2019 13:47:48,1.55032E+12,0,16/02/2019 13:47:45,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,80,40,0.3,high-low,high,11,fishing,fishing_h,,79.20499999,1550324865688.00,1550324865608.00
25,1.55032E+12,16/02/2019 13:47:48,1.55032E+12,0,16/02/2019 13:47:45,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,78,40,0.3,high-low,high,11,fishing,fishing_h,,77.04,1550324865875.00,1550324865797.00
26,1.55032E+12,16/02/2019 13:47:48,1.55032E+12,0,16/02/2019 13:47:46,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,94,40,0.3,high-low,high,11,fishing,fishing_h,,93.44,1550324866074.00,1550324865980.00
27,1.55032E+12,16/02/2019 13:47:48,1.55032E+12,0,16/02/2019 13:47:46,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,94,40,0.3,high-low,high,11,fishing,fishing_h,,94.24999999,1550324866274.00,1550324866180.00
28,1.55032E+12,16/02/2019 13:47:49,1.55032E+12,0,16/02/2019 13:47:46,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,78,40,0.3,high-low,high,11,fishing,fishing_h,,77.685,1550324866459.00,1550324866381.00
29,1.55032E+12,16/02/2019 13:47:49,1.55032E+12,0,16/02/2019 13:47:46,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,85,40,0.3,high-low,high,11,fishing,fishing_h,,84.47500001,1550324866657.00,1550324866572.00
