Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round_instance,task,function id,rod fixing checked,builtin_rt,end_time,start_time
15,1551625618360,03/03/2019 15:06:58,1551625604435,0,03/03/2019 15:06:44,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,126,40,1.8,low-high,low,11,fishing,fishing_l,null,125.36499998532236,1551625604334,1551625604208
16,1551625618360,03/03/2019 15:06:58,1551625604680,0,03/03/2019 15:06:44,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,141,40,1.8,low-high,low,11,fishing,fishing_l,null,140.29499993193895,1551625604577,1551625604436
17,1551625618360,03/03/2019 15:06:58,1551625604897,0,03/03/2019 15:06:44,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,113,40,1.8,low-high,low,11,fishing,fishing_l,null,113.344999961555,1551625604794,1551625604681
18,1551625637608,03/03/2019 15:07:17,1551625605109,0,03/03/2019 15:06:45,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,108,40,0.7,low-high,low,11,fishing,fishing_l,null,107.77000000234693,1551625605006,1551625604898
19,1551625637608,03/03/2019 15:07:17,1551625605356,0,03/03/2019 15:06:45,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,143,40,0.7,low-high,low,11,fishing,fishing_l,null,142.69000000786036,1551625605254,1551625605111
20,1551625637608,03/03/2019 15:07:17,1551625605585,0,03/03/2019 15:06:45,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,125,40,0.7,low-high,low,11,fishing,fishing_l,null,124.70000004395843,1551625605483,1551625605358
21,1551625637608,03/03/2019 15:07:17,1551625605817,0,03/03/2019 15:06:45,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,129,40,0.7,low-high,low,11,fishing,fishing_l,null,128.3249999396503,1551625605715,1551625605586
22,1551625618360,03/03/2019 15:06:58,1551625606045,0,03/03/2019 15:06:46,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,126,40,1.8,low-high,low,11,fishing,fishing_l,null,125.59000006876886,1551625605943,1551625605817
23,1551625618360,03/03/2019 15:06:58,1551625606293,0,03/03/2019 15:06:46,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,146,40,1.8,low-high,low,11,fishing,fishing_l,null,145.3300000866875,1551625606192,1551625606046
24,1551625618360,03/03/2019 15:06:58,1551625606562,0,03/03/2019 15:06:46,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,167,40,1.8,low-high,low,11,fishing,fishing_l,null,166.91000002902,1551625606461,1551625606294
